category,term,definition
identity,the machine,The portable project-agnostic Claude Code agent setup contained in this repo; installs as <project>/.claude/.
identity,kern,The per-cwd memory daemon (mcp__kern__*); the machine's durable memory — never file-memory or context-mode.
layer,.claude/,The portable machine — identical in every repo; skills/agents/hooks/rules/settings.
layer,/.proj/,The project layer — per-repo specialization regenerated by /bootstrap; never copied between repos.
law,Machine law,The always-applies rules in agents/default.md (root cause, one clean implementation, glossary discipline, verify before done).
law,Project law,Per-repo binding rules in /.proj/agent.md; here sourced from coding-standards.md.
process,/bootstrap,The command that wipes and re-indexes /.proj/ by scanning the current repo.
process,thin command pattern,Slash-command files must be routing wrappers under 20 LOC that invoke a skill via the Skill tool.
process,dispatch integrity,Agents resolve by name: frontmatter not path; names must be unique and skills: refs must resolve.
artifact,improve.json,Live worklist in /.proj/ (tracked in git) for the machine-unification /improve loop; holds outstanding work only and shrinks toward empty.
process,slice,A numbered unit of the unification sweep; referenced in improve.json and commit messages (e.g. "Slice 6").
law,sole driver,Only one session may drive the /improve loop; improve.json has no lock and concurrent writers lose updates (incident e193515d).
quality,five-dimension quality gate,The machine's code-quality bar defined in the foundation-quality skill; enforced by manager-quality and /gate.
identity,personas panel,The data-driven review panel defined by files in /.proj/personas/; run in parallel via /personas after non-trivial work.
